               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.052831,              0.0643,                   0,             0.77958,             0.64667,             0.75056,             0.41247,            0.047905,            0.076084,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.052561,            0.064044,                   0,             0.74337,             0.60825,             0.71489,             0.33656,             0.05227,             0.07733,                   0,            0.008119,            0.008119,            0.008119
                  40,             0.05338,            0.065887,                   0,             0.75179,             0.63871,              0.7444,             0.41086,            0.047805,            0.077957,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,             0.05252,            0.064155,                   0,             0.71962,             0.66823,             0.75039,              0.3337,            0.052632,            0.077237,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.05347,            0.064319,                   0,             0.74537,             0.66116,             0.75551,             0.40179,            0.047801,            0.074115,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.052777,            0.063952,                   0,              0.7536,             0.62512,             0.72441,             0.38006,            0.049492,            0.081272,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.05276,            0.067828,                   0,             0.76783,               0.654,             0.75565,             0.43279,            0.046624,            0.075054,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.053871,            0.063754,                   0,             0.78038,             0.58763,             0.71184,              0.3953,            0.049673,            0.079493,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.050228,            0.065221,                   0,             0.78371,             0.61387,              0.7367,             0.40354,            0.048186,            0.078201,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,             0.05135,             0.06292,                   0,             0.80705,             0.65323,             0.77862,             0.43328,             0.04604,            0.073479,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.04976,            0.063438,                   0,             0.77791,              0.5909,             0.71867,             0.39407,            0.048495,            0.084523,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.051529,            0.061271,                   0,             0.76748,             0.67198,             0.77512,             0.40584,            0.047478,            0.075305,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.050692,            0.060951,                   0,             0.80409,             0.66261,             0.77456,              0.4316,            0.046291,            0.074808,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.050622,            0.060751,                   0,             0.78814,              0.6298,              0.7638,              0.4094,            0.047797,            0.076743,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.049685,            0.064087,                   0,             0.77036,             0.65604,             0.76891,             0.42359,            0.046549,            0.075881,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.050455,            0.063287,                   0,             0.79241,             0.64039,             0.76803,             0.42007,            0.046966,            0.076619,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.050943,            0.064187,                   0,             0.79465,             0.64195,             0.76708,             0.41339,            0.047118,            0.075997,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,             0.04943,            0.060998,                   0,             0.76473,             0.68542,             0.78194,             0.44123,            0.045139,            0.073633,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.048342,            0.063431,                   0,             0.74432,             0.69025,              0.7631,             0.43464,            0.046324,            0.074763,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.048134,            0.060788,                   0,             0.76388,             0.68229,             0.77859,             0.44457,            0.046327,            0.073076,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.048725,            0.059342,                   0,             0.79179,             0.68229,             0.79362,             0.42003,            0.046474,            0.073955,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.048008,            0.063248,                   0,             0.74185,              0.6926,             0.77553,             0.39501,            0.046662,            0.073737,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.049223,            0.059342,                   0,             0.80772,             0.67198,             0.79768,             0.45551,            0.044503,            0.072612,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.04834,            0.060744,                   0,             0.79031,             0.66405,             0.77284,             0.41858,            0.046773,            0.076196,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.048715,            0.062185,                   0,             0.76061,             0.66448,             0.76285,             0.43467,            0.045826,            0.078451,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.047689,            0.062891,                   0,             0.81678,             0.70853,              0.8132,             0.44622,            0.045076,             0.07119,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.048755,            0.060232,                   0,             0.79332,             0.70149,             0.81015,             0.47687,            0.043173,             0.07142,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.048091,            0.060859,                   0,             0.78677,             0.69728,             0.80166,             0.46403,            0.043889,            0.071968,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.046552,             0.05885,                   0,             0.81362,             0.70197,             0.80581,             0.46054,            0.044098,            0.070943,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.046524,             0.06142,                   0,             0.76545,             0.70853,             0.79874,             0.45554,            0.044117,            0.073319,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.048113,            0.054213,                   0,             0.75334,              0.6698,             0.75261,             0.38487,            0.047964,            0.073925,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.046729,            0.061861,                   0,             0.84445,              0.6716,             0.80727,             0.47359,            0.043357,             0.07139,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.047664,             0.06085,                   0,             0.80853,             0.68861,             0.80391,             0.45029,            0.044042,            0.071675,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.047326,            0.062299,                   0,             0.83098,             0.67948,             0.80706,             0.47395,            0.043225,            0.070561,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.047233,            0.059172,                   0,             0.79984,             0.71156,             0.81229,             0.47105,              0.0432,            0.070531,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.046806,            0.059335,                   0,             0.78817,             0.69394,             0.79964,             0.44036,            0.044097,            0.072687,                   0,            0.006436,            0.006436,            0.006436
                  74,             0.04579,             0.05814,                   0,             0.81093,             0.64316,             0.78483,             0.43797,            0.044241,            0.075423,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.046566,             0.06047,                   0,              0.8251,             0.68978,             0.80944,             0.46829,            0.043057,            0.070744,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.046116,            0.056772,                   0,             0.76436,             0.69822,              0.7859,             0.45195,             0.04439,            0.075746,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.045799,            0.056617,                   0,             0.78363,             0.72259,             0.81121,             0.45894,              0.0438,            0.071305,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.045115,            0.061285,                   0,             0.77054,             0.71321,             0.80313,             0.47498,            0.042804,            0.072416,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,             0.04706,            0.061369,                   0,             0.81675,             0.71011,             0.81571,              0.4687,            0.043178,            0.070933,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.044806,            0.057828,                   0,             0.80515,             0.68159,             0.79434,             0.47038,            0.043887,            0.073629,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.045306,            0.061562,                   0,             0.81922,             0.68322,             0.79971,              0.4747,            0.042857,            0.070914,                   0,             0.00604,             0.00604,             0.00604
